document_id,first_submission_month,title,decision,target_system,evaluation_domain,evaluation_setup,modality,material_origin,scoring_source,task_language
arxiv:2409.20296v2,2024-09,PersonalLLM: Tailoring LLMs to Individual Preferences,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""other_model_judge""]","[""en""]"
arxiv:2409.20560v2,2024-09,LaMMA-P: Generalizable Multi-Agent Long-Horizon Task Allocation and Planning with LM-Driven PDDL Planner,included,"[""embodied_system""]","[""engineering"", ""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2410.00149v1,2024-09,Are Large Language Models In-Context Personalized Summarizers? Get an iCOPERNICUS Test Done!,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.00151v4,2024-09,Scheherazade: Evaluating Chain-of-Thought Math Reasoning in LLMs with Chain-of-Problems,included,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""runtime_generated_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.00193v3,2024-09,Do Vision-Language Models Really Understand Visual Language?,included,"[""answering_model""]","[""general_or_cross_domain"", ""natural_sciences""]","[""fixed_items""]","[""text"", ""image""]","[""program_or_simulation"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.00477v1,2024-10,ViDAS: Vision-based Danger Assessment and Scoring,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""video"", ""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.00485v2,2024-10,A Hitchhikers Guide to Fine-Grained Face Forgery Detection Using Common Sense Reasoning,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world"", ""generative_model"", ""program_or_simulation""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2410.00526v1,2024-10,Benchmarking Large Language Models for Conversational Question Answering in Multi-instructional Documents,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""llm_judge""]","[""en""]"
arxiv:2410.00752v2,2024-10,TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2410.00773v1,2024-10,BabelBench: An Omni Benchmark for Code-Driven Analysis of Multimodal and Multistructured Data,included,"[""agent_or_tool_system""]","[""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""image"", ""structured_data"", ""code""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.01023v2,2024-10,Can visual language models resolve textual ambiguity with visual cues? Let visual puns tell you!,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""llm_judge""]","[""en"", ""de"", ""fr"", ""ko""]"
arxiv:2410.01089v1,2024-10,FMBench: Benchmarking Fairness in Multimodal Large Language Models on Medical Tasks,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""llm_judge""]","[""en""]"
arxiv:2410.01171v3,2024-10,Multilingual Retrieval Augmented Generation for Culturally-Sensitive Tasks: A Benchmark for Cross-lingual Robustness,included,"[""answering_model""]","[""social_sciences_and_humanities"", ""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en"", ""zh"", ""ar"", ""hi"", ""es"", ""ru"", ""fr"", ""sw"", ""az"", ""hy"", ""ms"", ""uk"", ""pt"", ""ur"", ""ky"", ""ne"", ""ko"", ""he"", ""th"", ""sr"", ""ja"", ""hr"", ""my"", ""mg"", ""tl"", ""fa"", ""km"", ""nl"", ""so"", ""vi"", ""tg"", ""lo"", ""uz"", ""ti"", ""id"", ""tr"", ""bs"", ""sl"", ""ka"", ""el"", ""da"", ""sq"", ""it"", ""ht"", ""is"", ""mn"", ""bn"", ""sn""]"
arxiv:2410.01180v1,2024-10,UAL-Bench: The First Comprehensive Unusual Activity Localization Benchmark,included,"[""answering_model""]","[""general_or_cross_domain"", ""healthcare_biomedicine""]","[""fixed_items""]","[""text"", ""video""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.01208v3,2024-10,StringLLM: Understanding the String Processing Capability of Large Language Models,included,"[""answering_model""]","[""general_or_cross_domain"", ""software_and_coding""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model"", ""program_or_simulation""]","[""reference_or_metric""]","[""en"", ""multilingual_unspecified""]"
arxiv:2410.01353v3,2024-10,Codev-Bench: How Do LLMs Understand Developer-Centric Code Completion?,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""execution_or_environment"", ""reference_or_metric""]","[""en""]"
arxiv:2410.01417v2,2024-10,The Labyrinth of Links: Navigating the Associative Maze of Multi-modal LLMs,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""image"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.01553v2,2024-10,MedQA-CS: Objective Structured Clinical Examination (OSCE)-Style Benchmark for Evaluating LLM Clinical Skills,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""llm_judge"", ""human_judge""]","[""en""]"
arxiv:2410.01620v5,2024-10,LMOD: A Large Multimodal Ophthalmology Dataset and Benchmark for Large Vision-Language Models,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.01677v3,2024-10,Mind Scramble: Unveiling Large Language Model Psychology Via Typoglycemia,included,"[""answering_model""]","[""general_or_cross_domain"", ""language_and_communication"", ""mathematics_and_formal_reasoning"", ""software_and_coding""]","[""fixed_items"", ""runtime_generated_items""]","[""text"", ""code""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""other_model_judge""]","[""en"", ""zh""]"
arxiv:2410.01690v1,2024-10,Why context matters in VQA and Reasoning: Semantic interventions for VLM input modalities,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world""]","[""reference_or_metric"", ""llm_judge""]","[""en""]"
arxiv:2410.01733v2,2024-10,ASCIIEval: Benchmarking Models' Visual Perception in Text Strings via ASCII Art,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.01769v2,2024-10,Quantifying Generalization Complexity for Large Language Models,included,"[""answering_model""]","[""general_or_cross_domain"", ""software_and_coding"", ""mathematics_and_formal_reasoning""]","[""runtime_generated_items""]","[""text""]","[""generative_model"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.01999v4,2024-10,CodeMMLU: A Multi-Task Benchmark for Assessing Code Understanding & Reasoning Capabilities of CodeLLMs,included,"[""answering_model""]","[""software_and_coding"", ""cybersecurity""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.02115v2,2024-10,L-CiteEval: Do Long-Context Models Truly Leverage Context for Responding?,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2410.02429v4,2024-10,IoT-LLM: a framework for enhancing Large Language Model reasoning from real-world sensor data,included,"[""answering_model""]","[""healthcare_biomedicine"", ""engineering"", ""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.02507v1,2024-10,Can Large Language Models Grasp Legal Theories? Enhance Legal Reasoning with Insights from Multi-Agent Collaboration,included,"[""answering_model""]","[""law_and_public_policy""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""zh""]"
arxiv:2410.02603v2,2024-10,Agents' Room: Narrative Generation through Multi-step Collaboration,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""human_judge"", ""llm_judge""]","[""en""]"
arxiv:2410.02613v1,2024-10,NL-Eye: Abductive NLI for Images,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""human_judge"", ""llm_judge""]","[""en""]"
arxiv:2410.02631v1,2024-10,Large Language Model for Multi-Domain Translation: Benchmarking and Domain CoT Fine-tuning,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""de"", ""en"", ""zh""]"
arxiv:2410.02644v4,2024-10,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,included,"[""agent_or_tool_system""]","[""cybersecurity""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""structured_data""]","[""generative_model""]","[""execution_or_environment"", ""llm_judge""]","[""en""]"
arxiv:2410.02653v2,2024-10,Measuring and Improving Persuasiveness of Large Language Models,included,"[""answering_model""]","[""language_and_communication"", ""finance_and_business""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge"", ""llm_judge"", ""human_judge""]","[""en""]"
arxiv:2410.02677v2,2024-10,"CulturalBench: A Robust, Diverse, and Challenging Cultural Benchmark by Human-AI CulturalTeaming",included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.02683v3,2024-10,DailyDilemmas: Revealing Value Preferences of LLMs with Quandaries of Daily Life,included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.02694v3,2024-10,HELMET: How to Evaluate Long-Context Language Models Effectively and Thoroughly,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items"", ""runtime_generated_items""]","[""text"", ""structured_data""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""llm_judge""]","[""en""]"
arxiv:2410.02730v3,2024-10,DivScene: Towards Open-Vocabulary Object Navigation with Large Vision Language Models in Diverse Scenes,included,"[""embodied_system""]","[""general_or_cross_domain"", ""engineering""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""image""]","[""generative_model"", ""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2410.02763v1,2024-10,Vinoground: Scrutinizing LMMs over Dense Temporal Reasoning with Short Videos,excluded,null,null,null,null,null,null,null
arxiv:2410.03051v4,2024-10,"AuroraCap: Efficient, Performant Video Detailed Captioning and a New Benchmark",included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""video"", ""text""]","[""human_or_real_world"", ""generative_model""]","[""llm_judge""]","[""en""]"
arxiv:2410.03117v1,2024-10,ProcBench: Benchmark for Multi-Step Reasoning and Following Procedure,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.03137v1,2024-10,SAG: Style-Aligned Article Generation via Model Collaboration,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""llm_judge""]","[""unclear""]"
arxiv:2410.03198v2,2024-10,PersoBench: Benchmarking Personalized Response Generation in Large Language Models,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2410.03225v2,2024-10,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,included,"[""agent_or_tool_system""]","[""cybersecurity""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""program_or_simulation""]","[""execution_or_environment"", ""llm_judge""]","[""en""]"
arxiv:2410.03234v1,2024-10,Showing LLM-Generated Code Selectively Based on Confidence of LLMs,excluded,null,null,null,null,null,null,null
arxiv:2410.03502v1,2024-10,CliMedBench: A Large-Scale Chinese Benchmark for Evaluating Medical Large Language Models in Clinical Scenarios,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""human_judge"", ""other_model_judge""]","[""zh""]"
arxiv:2410.03642v2,2024-10,Aligning LLMs with Individual Preferences via Interaction,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""generative_model""]","[""llm_judge""]","[""en""]"
arxiv:2410.03727v3,2024-09,"FaithEval: Can Your Language Model Stay Faithful to Context, Even If ""The Moon is Made of Marshmallows""",included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""generative_model"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.03769v2,2024-10,SciSafeEval: A Comprehensive Benchmark for Safety Alignment of Large Language Models in Scientific Tasks,included,"[""answering_model""]","[""natural_sciences"", ""healthcare_biomedicine""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""llm_judge""]","[""en""]"
arxiv:2410.03837v2,2024-10,Learning Code Preference via Synthetic Evolution,included,"[""answering_model""]","[""software_and_coding""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.03859v1,2024-10,SWE-bench Multimodal: Do AI Systems Generalize to Visual Software Domains?,included,"[""agent_or_tool_system""]","[""software_and_coding""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""image"", ""code""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en"", ""zh""]"
arxiv:2410.03868v2,2024-10,Can Language Models Reason about Individualistic Human Values and Preferences?,included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.03878v2,2024-10,SPARTUN3D: Situated Spatial Understanding of 3D World in Large Language Models,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""generative_model"", ""program_or_simulation"", ""human_or_real_world""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2410.03905v1,2024-10,PersonalSum: A User-Subjective Guided Personalized Summarization Dataset for Large Language Models,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""other_model_judge""]","[""no""]"
arxiv:2410.03908v1,2024-10,Still Not Quite There! Evaluating Large Language Models for Comorbid Mental Health Diagnosis,excluded,null,null,null,null,null,null,null
arxiv:2410.03950v1,2024-10,Structured List-Grounded Question Answering,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""llm_judge""]","[""en""]"
arxiv:2410.03959v1,2024-10,Grounding Language in Multi-Perspective Referential Communication,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric"", ""human_judge""]","[""en""]"
arxiv:2410.04087v1,2024-10,"GlobeSumm: A Challenging Benchmark Towards Unifying Multi-lingual, Cross-lingual and Multi-document News Summarization",included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""other_model_judge"", ""llm_judge""]","[""bg"", ""sv"", ""hi"", ""it"", ""hu"", ""nl"", ""pt"", ""ru"", ""ar"", ""mk"", ""ro"", ""da"", ""uk"", ""tr"", ""ca"", ""pl"", ""fi"", ""ko"", ""es"", ""cs"", ""de"", ""fr"", ""he"", ""sq"", ""en"", ""el""]"
arxiv:2410.04107v1,2024-10,TUBench: Benchmarking Large Vision-Language Models on Trustworthiness with Unanswerable Questions,included,"[""answering_model""]","[""software_and_coding"", ""mathematics_and_formal_reasoning"", ""general_or_cross_domain""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en"", ""zh""]"
arxiv:2410.04112v1,2024-10,Exploring LLM-based Data Annotation Strategies for Medical Dialogue Preference Alignment,included,"[""answering_model""]","[""healthcare_biomedicine""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world""]","[""human_judge"", ""reference_or_metric"", ""llm_judge""]","[""zh""]"
arxiv:2410.04197v1,2024-10,CS4: Measuring the Creativity of Large Language Models Automatically by Controlling the Number of Story-Writing Constraints,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""llm_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2410.04199v3,2024-10,LongGenBench: Long-context Generation Benchmark,included,"[""answering_model""]","[""mathematics_and_formal_reasoning"", ""general_or_cross_domain""]","[""runtime_generated_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04241v2,2024-10,Adaptive Question Answering: Enhancing Language Model Proficiency for Addressing Knowledge Conflicts with Source Citations,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04265v2,2024-10,AI as Humanity's Salieri: Quantifying Linguistic Creativity of Language Models via Systematic Attribution of Machine Text against Web Text,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04345v1,2024-10,MVP-Bench: Can Large Vision--Language Models Conduct Multi-level Visual Perception Like Humans?,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04452v1,2024-10,MindScope: Exploring cognitive biases in large language models through Multi-Agent Systems,included,"[""answering_model""]","[""social_sciences_and_humanities""]","[""fixed_items"", ""runtime_generated_items"", ""interactive_loop""]","[""text""]","[""generative_model""]","[""llm_judge""]","[""en""]"
arxiv:2410.04456v1,2024-10,SWEb: A Large Web Dataset for the Scandinavian Languages,included,"[""answering_model""]","[""language_and_communication""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""sv""]"
arxiv:2410.04509v3,2024-10,ErrorRadar: Benchmarking Complex Mathematical Reasoning of Multimodal Large Language Models Via Error Detection,included,"[""answering_model""]","[""mathematics_and_formal_reasoning"", ""education""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world""]","[""reference_or_metric""]","[""unclear""]"
arxiv:2410.04526v4,2024-10,FAMMA: A Benchmark for Financial Domain Multilingual Multimodal Question Answering,included,"[""answering_model""]","[""finance_and_business""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world""]","[""llm_judge""]","[""en"", ""zh"", ""fr""]"
arxiv:2410.04541v1,2024-10,On Evaluating LLMs' Capabilities as Functional Approximators: A Bayesian Perspective,included,"[""answering_model""]","[""general_or_cross_domain"", ""natural_sciences"", ""finance_and_business""]","[""fixed_items""]","[""text""]","[""program_or_simulation"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04601v2,2024-10,ProtoMed-LLM: An Automatic Evaluation Framework for Large Language Models in Medical Protocol Formulation,included,"[""answering_model""]","[""natural_sciences""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world"", ""generative_model""]","[""llm_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2410.04617v2,2024-10,Evaluation of Code LLMs on Geospatial Code Generation,included,"[""answering_model""]","[""software_and_coding"", ""other""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2410.04659v2,2024-10,ActiView: Evaluating Active Perception Ability for Multimodal Large Language Models,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""image""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04698v1,2024-10,MathHay: An Automated Benchmark for Long-Context Mathematical Reasoning in LLMs,included,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""llm_judge""]","[""en""]"
arxiv:2410.04739v3,2024-10,TableRAG: Million-Token Table Understanding with Language Models,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text"", ""structured_data""]","[""human_or_real_world"", ""generative_model"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04759v3,2024-10,Driving with Regulation: Trustworthy and Interpretable Decision-Making for Autonomous Driving with Retrieval-Augmented Reasoning,included,"[""answering_model""]","[""law_and_public_policy"", ""engineering""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.04778v2,2024-10,MM-R$^3$: On (In-)Consistency of Vision-Language Models (VLMs),included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world"", ""generative_model"", ""program_or_simulation""]","[""reference_or_metric"", ""other_model_judge""]","[""en""]"
arxiv:2410.04795v2,2024-10,Representing the Under-Represented: Cultural and Core Capability Benchmarks for Developing Thai Large Language Models,included,"[""answering_model""]","[""general_or_cross_domain"", ""mathematics_and_formal_reasoning"", ""social_sciences_and_humanities""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""llm_judge""]","[""th""]"
arxiv:2410.05047v1,2024-10,A test suite of prompt injection attacks for LLM-based machine translation,excluded,null,null,null,null,null,null,null
arxiv:2410.05080v3,2024-10,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,included,"[""answering_model"", ""agent_or_tool_system""]","[""software_and_coding"", ""natural_sciences"", ""healthcare_biomedicine"", ""social_sciences_and_humanities""]","[""fixed_items"", ""interactive_loop""]","[""text"", ""code"", ""image"", ""structured_data""]","[""human_or_real_world""]","[""execution_or_environment"", ""other_model_judge"", ""llm_judge"", ""human_judge""]","[""en""]"
arxiv:2410.05191v1,2024-10,LADEV: A Language-Driven Testing and Evaluation Platform for Vision-Language-Action Models in Robotic Manipulation,included,"[""embodied_system""]","[""engineering""]","[""runtime_generated_items"", ""interactive_loop""]","[""text"", ""image""]","[""generative_model"", ""program_or_simulation"", ""human_or_real_world""]","[""execution_or_environment""]","[""en""]"
arxiv:2410.05229v2,2024-10,GSM-Symbolic: Understanding the Limitations of Mathematical Reasoning in Large Language Models,included,"[""answering_model""]","[""mathematics_and_formal_reasoning""]","[""runtime_generated_items""]","[""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.05254v3,2024-10,GLEE: A Unified Framework and Benchmark for Language-based Economic Environments,included,"[""agent_or_tool_system""]","[""finance_and_business"", ""language_and_communication""]","[""runtime_generated_items"", ""interactive_loop""]","[""text""]","[""program_or_simulation""]","[""execution_or_environment""]","[""en""]"
arxiv:2410.05262v1,2024-10,TurtleBench: Evaluating Top Language Models via Real-World Yes/No Puzzles,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world""]","[""reference_or_metric""]","[""zh"", ""en""]"
arxiv:2410.05267v1,2024-10,Grounding Partially-Defined Events in Multimodal Data,excluded,null,null,null,null,null,null,null
arxiv:2410.05298v2,2024-10,How Do Large Language Models Understand Graph Patterns? A Benchmark for Graph Pattern Comprehension,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""program_or_simulation"", ""human_or_real_world""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.05315v2,2024-10,PalmBench: A Comprehensive Benchmark of Compressed Large Language Models on Mobile Platforms,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric"", ""execution_or_environment"", ""llm_judge"", ""other_model_judge""]","[""en""]"
arxiv:2410.05340v2,2024-10,Generating CAD Code with Vision-Language Models for 3D Designs,included,"[""answering_model""]","[""software_and_coding"", ""engineering""]","[""fixed_items""]","[""text"", ""code""]","[""human_or_real_world""]","[""reference_or_metric"", ""execution_or_environment""]","[""en""]"
arxiv:2410.05474v1,2024-10,R-Bench: Are your Large Multimodal Model Robust to Real-world Corruptions?,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""image"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""llm_judge"", ""reference_or_metric""]","[""en""]"
arxiv:2410.05669v3,2024-10,"ACPBench: Reasoning about Action, Change, and Planning",included,"[""answering_model""]","[""general_or_cross_domain"", ""mathematics_and_formal_reasoning""]","[""fixed_items""]","[""text""]","[""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.05774v4,2024-10,ActionAtlas: A VideoQA Benchmark for Domain-specialized Action Recognition,included,"[""answering_model""]","[""other""]","[""fixed_items""]","[""video"", ""text""]","[""human_or_real_world"", ""generative_model""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.06022v2,2024-10,Can Language Models Induce Grammatical Knowledge from Indirect Evidence?,excluded,null,null,null,null,null,null,null
arxiv:2410.06089v1,2024-10,TOWER: Tree Organized Weighting for Evaluating Complex Instructions,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text""]","[""human_or_real_world"", ""generative_model""]","[""llm_judge""]","[""en""]"
arxiv:2410.06172v2,2024-10,Multimodal Situational Safety,included,"[""answering_model""]","[""general_or_cross_domain""]","[""fixed_items""]","[""text"", ""image""]","[""human_or_real_world"", ""generative_model"", ""program_or_simulation""]","[""llm_judge""]","[""en""]"
arxiv:2410.06176v2,2024-10,SC-Bench: A Large-Scale Dataset for Smart Contract Auditing,included,"[""answering_model""]","[""software_and_coding"", ""cybersecurity""]","[""fixed_items""]","[""code"", ""text""]","[""human_or_real_world"", ""program_or_simulation""]","[""reference_or_metric""]","[""en""]"
arxiv:2410.06195v3,2024-10,EgoSocialArena: Benchmarking the Social Intelligence of Large Language Models from a First-person Perspective,included,"[""answering_model"", ""agent_or_tool_system""]","[""general_or_cross_domain""]","[""fixed_items"", ""interactive_loop""]","[""text""]","[""human_or_real_world"", ""generative_model"", ""program_or_simulation""]","[""reference_or_metric"", ""execution_or_environment"", ""llm_judge""]","[""en""]"
